pr	state	mergedAt	conclusion	check_name	check_url	pr_url	title
1	MERGED	2025-12-12T13:11:48Z	NO_AUDIT			https://github.com/rauterfrank-ui/Peak_Trade/pull/1	feat(governance): PolicyCritic + Policy Packs (G2+G3)
2	CLOSED		NO_AUDIT			https://github.com/rauterfrank-ui/Peak_Trade/pull/2	[TEST] CI Gate Block Trigger Validation
3	MERGED	2025-12-12T13:26:15Z	NO_AUDIT			https://github.com/rauterfrank-ui/Peak_Trade/pull/3	🔥 HOTFIX: Policy Critic CI gate must block on BLOCK severity
4	MERGED	2025-12-12T14:28:28Z	NO_AUDIT			https://github.com/rauterfrank-ui/Peak_Trade/pull/4	chore(governance): G3.6 policy pack tuning - UX improvements and critical path enforcement
26	MERGED	2025-12-12T20:09:29Z	NO_AUDIT			https://github.com/rauterfrank-ui/Peak_Trade/pull/26	docs(ops): Claude Code OAuth 401 reset script + runbook
27	MERGED	2025-12-12T20:29:50Z	NO_AUDIT			https://github.com/rauterfrank-ui/Peak_Trade/pull/27	feat(ops): TODO-board Claude auth shortcuts + Claude Code preflight
28	CLOSED		NO_AUDIT			https://github.com/rauterfrank-ui/Peak_Trade/pull/28	feat(ops): operator convenience pack for TODO board
29	MERGED	2025-12-12T22:27:07Z	NO_AUDIT			https://github.com/rauterfrank-ui/Peak_Trade/pull/29	fix(ci): deterministic TODO board marker + proper PR checkout
30	MERGED	2025-12-12T23:21:26Z	NO_AUDIT			https://github.com/rauterfrank-ui/Peak_Trade/pull/30	TODO board system (v1)
31	MERGED	2025-12-12T23:20:38Z	NO_AUDIT			https://github.com/rauterfrank-ui/Peak_Trade/pull/31	Promotion loop system (v1)
32	MERGED	2025-12-12T23:20:45Z	NO_AUDIT			https://github.com/rauterfrank-ui/Peak_Trade/pull/32	Meta / InfoStream (v1)
33	MERGED	2025-12-12T23:20:52Z	NO_AUDIT			https://github.com/rauterfrank-ui/Peak_Trade/pull/33	Macro regimes (v1)
34	MERGED	2025-12-12T23:21:00Z	NO_AUDIT			https://github.com/rauterfrank-ui/Peak_Trade/pull/34	Market sentinel + outlook (v1)
35	MERGED	2025-12-12T23:21:10Z	NO_AUDIT			https://github.com/rauterfrank-ui/Peak_Trade/pull/35	CI workflows automation (v1)
36	MERGED	2025-12-12T23:21:17Z	NO_AUDIT			https://github.com/rauterfrank-ui/Peak_Trade/pull/36	Docs pack (WIP)
37	MERGED	2025-12-13T02:22:20Z	NO_AUDIT			https://github.com/rauterfrank-ui/Peak_Trade/pull/37	docs(todo-board): add operator quick commands to generated README
38	MERGED	2025-12-13T17:33:37Z	FAILURE	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20195478389/job/57978825579	https://github.com/rauterfrank-ui/Peak_Trade/pull/38	chore(repo): add cleanup targets + gitignore hygiene
38	MERGED	2025-12-13T17:33:37Z	FAILURE	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20195490850/job/57978852016	https://github.com/rauterfrank-ui/Peak_Trade/pull/38	chore(repo): add cleanup targets + gitignore hygiene
39	MERGED	2025-12-15T14:30:31Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20235327383/job/58088391549	https://github.com/rauterfrank-ui/Peak_Trade/pull/39	ci(rl): harden fast-lane smoke + upload reports on smoke/contract failure
40	CLOSED		SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20236203561/job/58091409413	https://github.com/rauterfrank-ui/Peak_Trade/pull/40	test(rl): add v0.2 contract tests + stabilize report schema
41	CLOSED		SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20237542789/job/58096209889	https://github.com/rauterfrank-ui/Peak_Trade/pull/41	feat(risk): enforce live position size limits (D1-2)
42	CLOSED		SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20238684350/job/58100335830	https://github.com/rauterfrank-ui/Peak_Trade/pull/42	ci(smoke): fast lane job summary + concurrency + operator docs
43	MERGED	2025-12-15T16:17:45Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20239037744/job/58101629100	https://github.com/rauterfrank-ui/Peak_Trade/pull/43	ci: optimize python matrix for PR fast lane
44	MERGED	2025-12-15T16:36:01Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20239727739/job/58104132215	https://github.com/rauterfrank-ui/Peak_Trade/pull/44	ci: fast-lane python matrix for PRs (full on main)
45	MERGED	2025-12-15T17:05:31Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20240599915/job/58107361140	https://github.com/rauterfrank-ui/Peak_Trade/pull/45	docs(ops): document CI fast lane behavior
46	CLOSED		SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20240275584/job/58106166353	https://github.com/rauterfrank-ui/Peak_Trade/pull/46	ci: fast lane on PRs, full matrix on main
47	MERGED	2025-12-15T17:20:15Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20241035849/job/58108938380	https://github.com/rauterfrank-ui/Peak_Trade/pull/47	docs(ops): archive PR #45 final verification log
48	MERGED	2025-12-15T17:36:05Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20241508970/job/58110592561	https://github.com/rauterfrank-ui/Peak_Trade/pull/48	docs(ops): add audit logs index
49	MERGED	2025-12-15T17:46:32Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20241759949/job/58111468259	https://github.com/rauterfrank-ui/Peak_Trade/pull/49	docs(ops): document audit log convention
50	MERGED	2025-12-15T18:18:19Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20242805042/job/58115022425	https://github.com/rauterfrank-ui/Peak_Trade/pull/50	docs(ops): add local WIP hygiene guidelines
51	MERGED	2025-12-15T18:55:00Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20243655612/job/58117932631	https://github.com/rauterfrank-ui/Peak_Trade/pull/51	feat(live-eval): add offline live session evaluation CLI + metrics
52	MERGED	2025-12-18T07:07:05Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20328863881/job/58399508036	https://github.com/rauterfrank-ui/Peak_Trade/pull/52	docs(ops): finalize PR #51 ops documentation
53	MERGED	2025-12-15T20:20:47Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20246111629/job/58126490674	https://github.com/rauterfrank-ui/Peak_Trade/pull/53	docs(ops): finalize PR51 safety notes and follow-ups
54	MERGED	2025-12-15T20:37:06Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20246558261/job/58127993949	https://github.com/rauterfrank-ui/Peak_Trade/pull/54	docs(ops): add PR #53 final closeout report
55	CLOSED		NO_AUDIT			https://github.com/rauterfrank-ui/Peak_Trade/pull/55	epic sanderson
56	MERGED	2025-12-18T07:26:37Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20247699707/job/58131965308	https://github.com/rauterfrank-ui/Peak_Trade/pull/56	docs(status): Phase 76 v1.1 notes in status overview
57	OPEN		FAILURE	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20248030802/job/58133063904	https://github.com/rauterfrank-ui/Peak_Trade/pull/57	feat(data/offline): add GARCH-regime OfflineRealtimeFeedV0 + safety gate
58	MERGED	2025-12-15T21:36:05Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20248087011/job/58133253788	https://github.com/rauterfrank-ui/Peak_Trade/pull/58	feat(governance): add G4 telemetry automation suite
59	MERGED	2025-12-15T22:13:30Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20249032359/job/58136445318	https://github.com/rauterfrank-ui/Peak_Trade/pull/59	chore(data): add package init exports for feeds and safety
60	OPEN		FAILURE	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20250159387/job/58140109182	https://github.com/rauterfrank-ui/Peak_Trade/pull/60	ci(ops): validate PR final report formatting
61	MERGED	2025-12-16T00:04:45Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20251572514/job/58144508027	https://github.com/rauterfrank-ui/Peak_Trade/pull/61	chore(data): add package init exports for feeds and safety
62	MERGED	2025-12-16T00:27:01Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20252116198/job/58146242335	https://github.com/rauterfrank-ui/Peak_Trade/pull/62	chore(ops): add post-merge PR final report automation
63	MERGED	2025-12-16T00:44:08Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20252251357/job/58146665165	https://github.com/rauterfrank-ui/Peak_Trade/pull/63	docs(ops): finalize PR #62 final report
