member_id,side,gross_pnl,fees,slippage,net_pnl,residual_gross_minus_fees_minus_slip_minus_net,exit_reason
okx:linear_perpetual:1INCH:USDT:USDT:perp,long,-50.0,3.9500000000000037,1.9750000000000019,-55.925000000000004,0.0,stop_loss
okx:linear_perpetual:1INCH:USDT:USDT:perp,short,-49.720374999999706,4.027350374999993,2.0136751874999965,-55.761400562499695,0.0,stop_loss
okx:linear_perpetual:1INCH:USDT:USDT:perp,short,-49.4415679971872,4.004767007772184,2.002383503886092,-55.44871850884548,7.105427357601002e-15,stop_loss
okx:linear_perpetual:1INCH:USDT:USDT:perp,short,-49.16432440464297,3.9823102767760963,1.9911551383880481,-55.13778981980711,0.0,stop_loss
okx:linear_perpetual:1INCH:USDT:USDT:perp,short,-48.88863545554395,3.959979471899075,1.9799897359495375,-54.82860466339256,0.0,stop_loss
okx:linear_perpetual:1INCH:USDT:USDT:perp,short,-48.61449243222698,3.937773887010409,1.9688869435052045,-54.521153262742594,0.0,stop_loss
okx:linear_perpetual:AAVE:USDT:USDT:perp,short,-50.0,4.0500000000000025,2.0250000000000012,-56.075,0.0,stop_loss
okx:linear_perpetual:ACH:USDT:USDT:perp,short,-49.99999999999977,4.049999999999999,2.0249999999999995,-56.074999999999775,7.105427357601002e-15,stop_loss
okx:linear_perpetual:ACH:USDT:USDT:perp,short,-49.71962499999977,4.027289625000002,2.013644812500001,-55.76055943749978,0.0,stop_loss
okx:linear_perpetual:ACH:USDT:USDT:perp,short,-49.44082220281227,4.004706598427814,2.002353299213907,-55.44788210045399,-7.105427357601002e-15,stop_loss
okx:linear_perpetual:ACH:USDT:USDT:perp,short,-49.16358279231,3.98225020617713,1.991125103088565,-55.13695810157569,0.0,stop_loss
okx:linear_perpetual:ACH:USDT:USDT:perp,short,-48.88789800180214,3.9599197381459934,1.9799598690729967,-54.82777760902113,0.0,stop_loss
okx:linear_perpetual:ACH:USDT:USDT:perp,short,-48.613759113756814,3.937714488214326,1.968857244107163,-54.5203308460783,0.0,stop_loss
okx:linear_perpetual:ADA:USDT:USDT:perp,long,-50.0,3.9499999999999993,1.9749999999999996,-55.925,-7.105427357601002e-15,stop_loss
okx:linear_perpetual:ADA:USDT:USDT:perp,short,-49.72037499999976,4.027350374999988,2.013675187499994,-55.761400562499745,0.0,stop_loss
okx:linear_perpetual:ADA:USDT:USDT:perp,short,-49.44156799718725,4.004767007772186,2.002383503886093,-55.44871850884553,0.0,stop_loss
okx:linear_perpetual:ADA:USDT:USDT:perp,short,-49.164324404643025,3.9823102767760954,1.9911551383880477,-55.13778981980717,0.0,stop_loss
okx:linear_perpetual:ADA:USDT:USDT:perp,short,-48.888635455544,3.9599794718990813,1.9799897359495406,-54.828604663392625,7.105427357601002e-15,stop_loss
okx:linear_perpetual:ADA:USDT:USDT:perp,short,-48.61449243222704,3.937773887010413,1.9688869435052065,-54.52115326274266,0.0,stop_loss
