instrument,member_id,bars_total,total_trades,long_trades,short_trades,gross_pnl,net_pnl,net_return,fees,slippage_drag,cost_drag,profit_factor_gross,win_rate,max_drawdown,sharpe,avg_hold_hours,stop_triggers,entry_intents,exit_intents,canonical_chain_bound,entry_side_none,entry_side_other,engine_signal_source
1INCH,okx:linear_perpetual:1INCH:USDT:USDT:perp,2953,6,1,5,-296.2749064373423,-296.2749064373423,-0.02962749064373438,0.0,60.0,0.0,0.0,0.0,-0.02962749064373438,NOT_AVAILABLE,45.5,6,6,2501,True,2893,0,mv2_decision_replay_series
AAVE,okx:linear_perpetual:AAVE:USDT:USDT:perp,2953,1,0,1,-50.0,-50.0,-0.005,0.0,10.0,0.0,0.0,0.0,-0.005,NOT_AVAILABLE,312.0,1,1,2489,True,2893,0,mv2_decision_replay_series
ACH,okx:linear_perpetual:ACH:USDT:USDT:perp,2953,6,0,6,-296.27490643734217,-296.27490643734217,-0.0296274906437342,0.0,60.0,0.0,0.0,0.0,-0.0296274906437342,NOT_AVAILABLE,73.5,6,6,2209,True,2893,0,mv2_decision_replay_series
ADA,okx:linear_perpetual:ADA:USDT:USDT:perp,2953,6,1,5,-296.27490643734257,-296.27490643734257,-0.02962749064373438,0.0,60.0,0.0,0.0,0.0,-0.02962749064373438,NOT_AVAILABLE,77.66666666666667,6,6,2013,True,2893,0,mv2_decision_replay_series
AEVO,okx:linear_perpetual:AEVO:USDT:USDT:perp,2953,1,0,1,1558.0821917808228,1558.0821917808228,0.15580821917808224,0.0,10.0,0.0,inf,1.0,0.0,NOT_AVAILABLE,2867.0,0,1,300,True,2893,0,mv2_decision_replay_series
AGLD,okx:linear_perpetual:AGLD:USDT:USDT:perp,2953,1,0,1,-49.99999999999959,-49.99999999999959,-0.005,0.0,10.0,0.0,0.0,0.0,-0.005,NOT_AVAILABLE,392.0,1,1,2361,True,2893,0,mv2_decision_replay_series
ALGO,okx:linear_perpetual:ALGO:USDT:USDT:perp,2953,5,1,4,-247.51246878124942,-247.51246878124942,-0.02475124687812495,0.0,50.0,0.0,0.0,0.0,-0.02475124687812495,NOT_AVAILABLE,59.6,5,5,2211,True,2893,0,mv2_decision_replay_series
APE,okx:linear_perpetual:APE:USDT:USDT:perp,2953,2,0,2,-99.74999999999963,-99.74999999999963,-0.009975,0.0,20.0,0.0,0.0,0.0,-0.009975,NOT_AVAILABLE,6.5,2,2,2629,True,2893,0,mv2_decision_replay_series
API3,okx:linear_perpetual:API3:USDT:USDT:perp,2953,2,1,1,-99.7499999999996,-99.7499999999996,-0.009975,0.0,20.0,0.0,0.0,0.0,-0.009975,NOT_AVAILABLE,58.5,2,2,2708,True,2893,0,mv2_decision_replay_series
APT,okx:linear_perpetual:APT:USDT:USDT:perp,2953,7,0,7,-344.79353190515496,-344.79353190515496,-0.03447935319051557,0.0,70.0,0.0,0.0,0.0,-0.03447935319051557,NOT_AVAILABLE,26.0,7,7,2244,True,2893,0,mv2_decision_replay_series
AR,okx:linear_perpetual:AR:USDT:USDT:perp,2953,8,3,5,-393.0695642456302,-393.0695642456302,-0.03930695642456285,0.0,80.0,0.0,0.0,0.0,-0.03930695642456285,NOT_AVAILABLE,5.625,8,8,2732,True,2893,0,mv2_decision_replay_series
ARB,okx:linear_perpetual:ARB:USDT:USDT:perp,2953,5,1,4,-247.51246878124934,-247.51246878124934,-0.02475124687812495,0.0,50.0,0.0,0.0,0.0,-0.02475124687812495,NOT_AVAILABLE,45.2,5,5,2415,True,2893,0,mv2_decision_replay_series
ATOM,okx:linear_perpetual:ATOM:USDT:USDT:perp,2953,1,0,1,1009.3518921270089,1009.3518921270089,0.10093518921270098,0.0,10.0,0.0,inf,1.0,0.0,NOT_AVAILABLE,2793.0,0,1,96,True,2893,0,mv2_decision_replay_series
AUCTION,okx:linear_perpetual:AUCTION:USDT:USDT:perp,2953,3,1,2,-149.25124999999935,-149.25124999999935,-0.014925124999999935,0.0,30.0,0.0,0.0,0.0,-0.014925124999999935,NOT_AVAILABLE,31.0,3,3,2738,True,2893,0,mv2_decision_replay_series
AVAX,okx:linear_perpetual:AVAX:USDT:USDT:perp,2953,2,0,2,-99.7499999999996,-99.7499999999996,-0.009975,0.0,20.0,0.0,0.0,0.0,-0.009975,NOT_AVAILABLE,123.0,2,2,2353,True,2893,0,mv2_decision_replay_series
AXS,okx:linear_perpetual:AXS:USDT:USDT:perp,2953,2,1,1,-99.75,-99.75,-0.009975,0.0,20.0,0.0,0.0,0.0,-0.009975,NOT_AVAILABLE,40.5,2,2,2640,True,2893,0,mv2_decision_replay_series
BAND,okx:linear_perpetual:BAND:USDT:USDT:perp,2953,2,1,1,-99.74999999999972,-99.74999999999972,-0.009975,0.0,20.0,0.0,0.0,0.0,-0.009975,NOT_AVAILABLE,21.5,2,2,2684,True,2893,0,mv2_decision_replay_series
BAT,okx:linear_perpetual:BAT:USDT:USDT:perp,2953,6,0,6,-296.27490643734234,-296.27490643734234,-0.02962749064373438,0.0,60.0,0.0,0.0,0.0,-0.02962749064373438,NOT_AVAILABLE,13.5,6,6,2385,True,2893,0,mv2_decision_replay_series
BCH,okx:linear_perpetual:BCH:USDT:USDT:perp,2953,3,1,2,-149.25124999999946,-149.25124999999946,-0.014925124999999935,0.0,30.0,0.0,0.0,0.0,-0.014925124999999935,NOT_AVAILABLE,72.33333333333333,3,3,2471,True,2893,0,mv2_decision_replay_series
BICO,okx:linear_perpetual:BICO:USDT:USDT:perp,2953,4,0,4,-198.5049937499993,-198.5049937499993,-0.01985049937499989,0.0,40.0,0.0,0.0,0.0,-0.01985049937499989,NOT_AVAILABLE,68.5,4,4,2513,True,2893,0,mv2_decision_replay_series
BIGTIME,okx:linear_perpetual:BIGTIME:USDT:USDT:perp,2953,9,0,9,-441.10421642440133,-441.10421642440133,-0.04411042164244045,0.0,90.0,0.0,0.0,0.0,-0.04411042164244045,NOT_AVAILABLE,44.333333333333336,9,9,2342,True,2893,0,mv2_decision_replay_series
BLUR,okx:linear_perpetual:BLUR:USDT:USDT:perp,2953,3,0,3,-149.25124999999917,-149.25124999999917,-0.014925124999999935,0.0,30.0,0.0,0.0,0.0,-0.014925124999999935,NOT_AVAILABLE,128.0,3,3,2301,True,2893,0,mv2_decision_replay_series
BNB,okx:linear_perpetual:BNB:USDT:USDT:perp,2953,1,1,0,-50.0,-50.0,-0.005,0.0,10.0,0.0,0.0,0.0,-0.005,NOT_AVAILABLE,265.0,1,1,2430,True,2893,0,mv2_decision_replay_series
BONK,okx:linear_perpetual:BONK:USDT:USDT:perp,2953,4,0,4,-198.50499374999927,-198.50499374999927,-0.01985049937499989,0.0,40.0,0.0,0.0,0.0,-0.01985049937499989,NOT_AVAILABLE,115.25,4,4,1965,True,2893,0,mv2_decision_replay_series
CELO,okx:linear_perpetual:CELO:USDT:USDT:perp,2953,1,0,1,-49.99999999999972,-49.99999999999972,-0.005,0.0,10.0,0.0,0.0,0.0,-0.005,NOT_AVAILABLE,44.0,1,1,2662,True,2893,0,mv2_decision_replay_series
CFX,okx:linear_perpetual:CFX:USDT:USDT:perp,2953,2,0,2,-99.74999999999974,-99.74999999999974,-0.009975,0.0,20.0,0.0,0.0,0.0,-0.009975,NOT_AVAILABLE,193.5,2,2,2388,True,2893,0,mv2_decision_replay_series
CHZ,okx:linear_perpetual:CHZ:USDT:USDT:perp,2953,4,0,4,-198.5049937499993,-198.5049937499993,-0.01985049937499989,0.0,40.0,0.0,0.0,0.0,-0.01985049937499989,NOT_AVAILABLE,34.5,4,4,2424,True,2893,0,mv2_decision_replay_series
COMP,okx:linear_perpetual:COMP:USDT:USDT:perp,2953,4,0,4,-198.50499374999902,-198.50499374999902,-0.01985049937499989,0.0,40.0,0.0,0.0,0.0,-0.01985049937499989,NOT_AVAILABLE,53.25,4,4,2297,True,2893,0,mv2_decision_replay_series
CORE,okx:linear_perpetual:CORE:USDT:USDT:perp,2953,1,0,1,-49.99999999999957,-49.99999999999957,-0.005,0.0,10.0,0.0,0.0,0.0,-0.005,NOT_AVAILABLE,504.0,1,1,2275,True,2893,0,mv2_decision_replay_series
CRO,okx:linear_perpetual:CRO:USDT:USDT:perp,2953,3,1,2,583.6722641206663,583.6722641206663,0.05836722641206652,0.0,30.0,0.0,6.851351018753573,0.3333333333333333,-0.009975,NOT_AVAILABLE,929.0,2,3,58,True,2893,0,mv2_decision_replay_series
CRV,okx:linear_perpetual:CRV:USDT:USDT:perp,2953,1,0,1,-49.999999999999744,-49.999999999999744,-0.005,0.0,10.0,0.0,0.0,0.0,-0.005,NOT_AVAILABLE,20.0,1,1,2686,True,2893,0,mv2_decision_replay_series
DOGE,okx:linear_perpetual:DOGE:USDT:USDT:perp,2953,4,0,4,-198.50499374999887,-198.50499374999887,-0.01985049937499989,0.0,40.0,0.0,0.0,0.0,-0.01985049937499989,NOT_AVAILABLE,12.25,4,4,2504,True,2893,0,mv2_decision_replay_series
DOT,okx:linear_perpetual:DOT:USDT:USDT:perp,2953,3,1,2,-149.25124999999974,-149.25124999999974,-0.014925124999999935,0.0,30.0,0.0,0.0,0.0,-0.014925124999999935,NOT_AVAILABLE,135.33333333333334,3,3,2274,True,2893,0,mv2_decision_replay_series
DYDX,okx:linear_perpetual:DYDX:USDT:USDT:perp,2953,4,0,4,970.7016768177518,970.7016768177518,0.09707016768177527,0.0,40.0,0.0,7.503809360509575,0.25,-0.014925124999999935,NOT_AVAILABLE,683.5,3,4,139,True,2893,0,mv2_decision_replay_series
EGLD,okx:linear_perpetual:EGLD:USDT:USDT:perp,2953,5,0,5,-247.51246878124934,-247.51246878124934,-0.024751246878124765,0.0,50.0,0.0,0.0,0.0,-0.024751246878124765,NOT_AVAILABLE,63.4,5,5,2384,True,2893,0,mv2_decision_replay_series
ENJ,okx:linear_perpetual:ENJ:USDT:USDT:perp,2953,2,0,2,-99.74999999999963,-99.74999999999963,-0.009975,0.0,20.0,0.0,0.0,0.0,-0.009975,NOT_AVAILABLE,120.5,2,2,2463,True,2893,0,mv2_decision_replay_series
ENS,okx:linear_perpetual:ENS:USDT:USDT:perp,2953,4,0,4,-198.50499374999933,-198.50499374999933,-0.01985049937499989,0.0,40.0,0.0,0.0,0.0,-0.01985049937499989,NOT_AVAILABLE,93.25,4,4,667,True,2893,0,mv2_decision_replay_series
ETC,okx:linear_perpetual:ETC:USDT:USDT:perp,2953,1,0,1,-49.99999999999974,-49.99999999999974,-0.005,0.0,10.0,0.0,0.0,0.0,-0.005,NOT_AVAILABLE,28.0,1,1,2704,True,2893,0,mv2_decision_replay_series
ETH,okx:linear_perpetual:ETH:USDT:USDT:perp,2953,3,0,3,-149.2512499999991,-149.2512499999991,-0.014925124999999935,0.0,30.0,0.0,0.0,0.0,-0.014925124999999935,NOT_AVAILABLE,71.0,3,3,1143,True,2893,0,mv2_decision_replay_series
ETHFI,okx:linear_perpetual:ETHFI:USDT:USDT:perp,2953,1,1,0,-50.00000000000001,-50.00000000000001,-0.005,0.0,10.0,0.0,0.0,0.0,-0.005,NOT_AVAILABLE,106.0,1,1,2705,True,2893,0,mv2_decision_replay_series
ETHW,okx:linear_perpetual:ETHW:USDT:USDT:perp,2953,5,0,5,-247.5124687812488,-247.5124687812488,-0.02475124687812495,0.0,50.0,0.0,0.0,0.0,-0.02475124687812495,NOT_AVAILABLE,55.2,5,5,2318,True,2893,0,mv2_decision_replay_series
FIL,okx:linear_perpetual:FIL:USDT:USDT:perp,2953,1,0,1,-49.99999999999971,-49.99999999999971,-0.005,0.0,10.0,0.0,0.0,0.0,-0.005,NOT_AVAILABLE,317.0,1,1,2425,True,2893,0,mv2_decision_replay_series
FLOKI,okx:linear_perpetual:FLOKI:USDT:USDT:perp,2953,9,1,8,-441.1042164244007,-441.1042164244007,-0.04411042164244045,0.0,90.0,0.0,0.0,0.0,-0.04411042164244045,NOT_AVAILABLE,23.11111111111111,9,11,2615,True,2893,0,mv2_decision_replay_series
FLOW,okx:linear_perpetual:FLOW:USDT:USDT:perp,2953,8,1,7,-393.0695642456295,-393.0695642456295,-0.039306956424563215,0.0,80.0,0.0,0.0,0.0,-0.039306956424563215,NOT_AVAILABLE,25.5,8,8,2356,True,2893,0,mv2_decision_replay_series
GALA,okx:linear_perpetual:GALA:USDT:USDT:perp,2953,6,0,6,-296.27490643734313,-296.27490643734313,-0.02962749064373438,0.0,60.0,0.0,0.0,0.0,-0.02962749064373438,NOT_AVAILABLE,24.166666666666668,6,6,2419,True,2893,0,mv2_decision_replay_series
GAS,okx:linear_perpetual:GAS:USDT:USDT:perp,2953,1,1,0,-50.0,-50.0,-0.005,0.0,10.0,0.0,0.0,0.0,-0.005,NOT_AVAILABLE,174.0,1,1,2689,True,2893,0,mv2_decision_replay_series
GMT,okx:linear_perpetual:GMT:USDT:USDT:perp,2953,3,0,3,-149.2512499999995,-149.2512499999995,-0.014925124999999935,0.0,30.0,0.0,0.0,0.0,-0.014925124999999935,NOT_AVAILABLE,105.66666666666667,3,3,2393,True,2893,0,mv2_decision_replay_series
GMX,okx:linear_perpetual:GMX:USDT:USDT:perp,2953,4,1,3,-198.50499374999916,-198.50499374999916,-0.01985049937499989,0.0,40.0,0.0,0.0,0.0,-0.01985049937499989,NOT_AVAILABLE,28.25,4,4,2731,True,2893,0,mv2_decision_replay_series
GRT,okx:linear_perpetual:GRT:USDT:USDT:perp,2953,1,1,0,-50.0,-50.0,-0.005,0.0,10.0,0.0,0.0,0.0,-0.005,NOT_AVAILABLE,845.0,1,1,2665,True,2893,0,mv2_decision_replay_series
HBAR,okx:linear_perpetual:HBAR:USDT:USDT:perp,2953,2,1,1,-99.74999999999974,-99.74999999999974,-0.009975,0.0,20.0,0.0,0.0,0.0,-0.009975,NOT_AVAILABLE,139.5,2,2,2381,True,2893,0,mv2_decision_replay_series
ICP,okx:linear_perpetual:ICP:USDT:USDT:perp,2953,3,1,2,771.1841849599538,771.1841849599538,0.07711841849599532,0.0,30.0,0.0,8.731169774034624,0.3333333333333333,-0.009975,NOT_AVAILABLE,945.0,2,3,164,True,2893,0,mv2_decision_replay_series
ICX,okx:linear_perpetual:ICX:USDT:USDT:perp,2953,3,1,2,-149.2512499999995,-149.2512499999995,-0.014925124999999935,0.0,30.0,0.0,0.0,0.0,-0.014925124999999935,NOT_AVAILABLE,30.0,3,3,2385,True,2893,0,mv2_decision_replay_series
