,portfolio_equity
2023-05-20 00:00:00+00:00,10000.0
2023-05-20 01:00:00+00:00,10000.0
2023-05-20 02:00:00+00:00,10000.0
2023-05-20 03:00:00+00:00,10000.0
2023-05-20 04:00:00+00:00,10000.0
2023-05-20 05:00:00+00:00,10000.0
2023-05-20 06:00:00+00:00,10000.0
2023-05-20 07:00:00+00:00,10000.0
2023-05-20 08:00:00+00:00,10000.0
2023-05-20 09:00:00+00:00,9999.819145028107
2023-05-20 10:00:00+00:00,9999.819145028107
2023-05-20 11:00:00+00:00,9999.819145028107
2023-05-20 12:00:00+00:00,9999.819145028107
2023-05-20 13:00:00+00:00,9999.819145028107
2023-05-20 14:00:00+00:00,9999.819145028107
2023-05-20 15:00:00+00:00,9999.819145028107
2023-05-20 16:00:00+00:00,9999.819145028107
2023-05-20 17:00:00+00:00,9999.819145028107
2023-05-20 18:00:00+00:00,9999.819145028107
2023-05-20 19:00:00+00:00,9999.819145028107
2023-05-20 20:00:00+00:00,9999.819145028107
2023-05-20 21:00:00+00:00,9999.819145028107
2023-05-20 22:00:00+00:00,9999.819145028107
2023-05-20 23:00:00+00:00,9999.819145028107
2023-05-21 00:00:00+00:00,9999.819145028107
2023-05-21 01:00:00+00:00,9999.58781022199
2023-05-21 02:00:00+00:00,9999.58781022199
2023-05-21 03:00:00+00:00,9999.58781022199
2023-05-21 04:00:00+00:00,9999.58781022199
2023-05-21 05:00:00+00:00,9998.372049352425
2023-05-21 06:00:00+00:00,9998.372049352425
2023-05-21 07:00:00+00:00,9998.372049352425
2023-05-21 08:00:00+00:00,9998.372049352425
2023-05-21 09:00:00+00:00,9998.372049352425
2023-05-21 10:00:00+00:00,9998.372049352425
2023-05-21 11:00:00+00:00,9998.372049352425
2023-05-21 12:00:00+00:00,9998.372049352425
2023-05-21 13:00:00+00:00,9998.372049352425
2023-05-21 14:00:00+00:00,9998.372049352425
2023-05-21 15:00:00+00:00,9998.372049352425
2023-05-21 16:00:00+00:00,9998.372049352425
2023-05-21 17:00:00+00:00,9999.017357429311
2023-05-21 18:00:00+00:00,9999.017357429311
2023-05-21 19:00:00+00:00,9999.017357429311
2023-05-21 20:00:00+00:00,9999.017357429311
2023-05-21 21:00:00+00:00,9999.017357429311
2023-05-21 22:00:00+00:00,9999.017357429311
2023-05-21 23:00:00+00:00,9999.017357429311
2023-05-22 00:00:00+00:00,9999.017357429311
2023-05-22 01:00:00+00:00,9999.017357429311
2023-05-22 02:00:00+00:00,9999.017357429311
2023-05-22 03:00:00+00:00,9999.017357429311
2023-05-22 04:00:00+00:00,9999.017357429311
2023-05-22 05:00:00+00:00,9999.017357429311
2023-05-22 06:00:00+00:00,9999.017357429311
2023-05-22 07:00:00+00:00,9999.017357429311
2023-05-22 08:00:00+00:00,9999.017357429311
2023-05-22 09:00:00+00:00,9999.017357429311
2023-05-22 10:00:00+00:00,9996.576992595934
2023-05-22 11:00:00+00:00,9996.576992595934
2023-05-22 12:00:00+00:00,9995.357970856801
2023-05-22 13:00:00+00:00,9994.143476443958
2023-05-22 14:00:00+00:00,9994.143476443958
2023-05-22 15:00:00+00:00,9994.143476443958
2023-05-22 16:00:00+00:00,9994.143476443958
2023-05-22 17:00:00+00:00,9994.143476443958
2023-05-22 18:00:00+00:00,9994.143476443958
2023-05-22 19:00:00+00:00,9994.143476443958
2023-05-22 20:00:00+00:00,9994.143476443958
2023-05-22 21:00:00+00:00,9994.143476443958
2023-05-22 22:00:00+00:00,9994.143476443958
2023-05-22 23:00:00+00:00,9994.143476443958
2023-05-23 00:00:00+00:00,9994.143476443958
2023-05-23 01:00:00+00:00,9993.783862698796
2023-05-23 02:00:00+00:00,9993.783862698796
2023-05-23 03:00:00+00:00,9993.783862698796
2023-05-23 04:00:00+00:00,9993.783862698796
2023-05-23 05:00:00+00:00,9993.783862698796
2023-05-23 06:00:00+00:00,9993.783862698796
2023-05-23 07:00:00+00:00,9993.783862698796
2023-05-23 08:00:00+00:00,9993.783862698796
2023-05-23 09:00:00+00:00,9993.783862698796
2023-05-23 10:00:00+00:00,9993.783862698796
2023-05-23 11:00:00+00:00,9996.28203684007
2023-05-23 12:00:00+00:00,9996.28203684007
2023-05-23 13:00:00+00:00,9996.28203684007
2023-05-23 14:00:00+00:00,9996.28203684007
2023-05-23 15:00:00+00:00,9996.28203684007
2023-05-23 16:00:00+00:00,9996.28203684007
2023-05-23 17:00:00+00:00,9996.28203684007
2023-05-23 18:00:00+00:00,9996.28203684007
2023-05-23 19:00:00+00:00,9996.28203684007
2023-05-23 20:00:00+00:00,9996.28203684007
2023-05-23 21:00:00+00:00,9996.28203684007
2023-05-23 22:00:00+00:00,9996.28203684007
