instrument,timestamp,mark,prior_mark,price_path,up_distance_bps,adverse_to_up_ratio,reversal_to_up_ratio,abs_up_distance,abs_adverse_exit_distance,abs_reversal_distance,helper_up_distance,bull_candidate,bear_candidate,scope_event,side_before,side_after,composition_selected_side
okx:linear_perpetual:1INCH:USDT:USDT:perp,2024-05-03 13:00:00+00:00,0.3799,0.3754,"(0.3754, 0.3799)",100.0,0.5,0.75,0.0037990000000000003,0.0018995000000000001,0.0028492500000000002,0.0037990000000000003,True,False,upscope_candidate,long_armed,long_armed,long
okx:linear_perpetual:1INCH:USDT:USDT:perp,2024-05-03 14:00:00+00:00,0.3797,0.3799,"(0.3799, 0.3797)",100.0,0.5,0.75,0.003797,0.0018985,0.00284775,0.003797,True,False,upscope_confirmed,long_armed,long_active,none
okx:linear_perpetual:1INCH:USDT:USDT:perp,2024-05-03 15:00:00+00:00,0.3793,0.3797,"(0.3797, 0.3793)",100.0,0.5,0.75,0.0037930000000000004,0.0018965000000000002,0.00284475,0.0037930000000000004,False,False,noop,long_active,long_active,none
okx:linear_perpetual:1INCH:USDT:USDT:perp,2024-05-03 21:00:00+00:00,0.3853,0.3856,"(0.3856, 0.3853)",100.0,0.5,0.75,0.0038529999999999997,0.0019264999999999998,0.00288975,0.0038529999999999997,False,False,noop,long_active,long_active,none
okx:linear_perpetual:1INCH:USDT:USDT:perp,2024-05-03 23:00:00+00:00,0.3829,0.3854,"(0.3854, 0.3829)",100.0,0.5,0.75,0.0038290000000000004,0.0019145000000000002,0.00287175,0.0038290000000000004,False,False,adverse_exit_candidate,long_active,long_active,none
okx:linear_perpetual:1INCH:USDT:USDT:perp,2024-05-04 01:00:00+00:00,0.383,0.3855,"(0.3855, 0.383)",100.0,0.5,0.75,0.00383,0.001915,0.0028725,0.00383,False,False,adverse_exit_candidate,long_active,long_active,none
okx:linear_perpetual:1INCH:USDT:USDT:perp,2024-05-04 02:00:00+00:00,0.3825,0.383,"(0.383, 0.3825)",100.0,0.5,0.75,0.0038250000000000003,0.0019125000000000001,0.00286875,0.0038250000000000003,False,False,adverse_exit_candidate,long_active,long_active,none
okx:linear_perpetual:1INCH:USDT:USDT:perp,2024-05-04 05:00:00+00:00,0.3842,0.3847,"(0.3847, 0.3842)",100.0,0.5,0.75,0.003842,0.001921,0.0028815,0.003842,False,False,noop,long_active,long_active,none
okx:linear_perpetual:1INCH:USDT:USDT:perp,2024-05-04 06:00:00+00:00,0.384,0.3842,"(0.3842, 0.384)",100.0,0.5,0.75,0.00384,0.00192,0.00288,0.00384,False,False,noop,long_active,long_active,none
okx:linear_perpetual:1INCH:USDT:USDT:perp,2024-05-04 07:00:00+00:00,0.3833,0.384,"(0.384, 0.3833)",100.0,0.5,0.75,0.003833,0.0019165,0.00287475,0.003833,False,False,adverse_exit_candidate,long_active,long_active,none
okx:linear_perpetual:1INCH:USDT:USDT:perp,2024-05-04 09:00:00+00:00,0.3847,0.3855,"(0.3855, 0.3847)",100.0,0.5,0.75,0.003847,0.0019235,0.0028852500000000002,0.003847,False,False,noop,long_active,long_active,none
okx:linear_perpetual:1INCH:USDT:USDT:perp,2024-05-04 11:00:00+00:00,0.3882,0.3907,"(0.3907, 0.3882)",100.0,0.5,0.75,0.003882,0.001941,0.0029115,0.003882,False,False,adverse_exit_candidate,long_active,long_active,none
