instrument,member_id,bars_total,total_trades,long_trades,short_trades,gross_pnl,net_pnl,net_return,fees,slippage_drag,cost_drag,profit_factor_gross,win_rate,max_drawdown,sharpe,avg_hold_hours,stop_triggers,entry_intents,exit_intents,canonical_chain_bound,entry_side_none,entry_side_other,engine_signal_source
1INCH,okx:linear_perpetual:1INCH:USDT:USDT:perp,9162,2,0,2,-99.71962499999933,-111.8355594374993,-0.011183555943749889,8.077289624999981,4.0386448124999905,12.115934437499973,0.0,0.0,-0.011183555943749889,NOT_AVAILABLE,65.0,2,2,8820,True,9102,0,mv2_decision_replay_series
ADA,okx:linear_perpetual:ADA:USDT:USDT:perp,9162,7,0,7,-344.1668445702086,-385.98311618548894,-0.0385983116185489,27.877514410186937,13.938757205093468,41.81627161528036,0.0,0.0,-0.0385983116185489,NOT_AVAILABLE,101.28571428571429,7,7,7548,True,9102,0,mv2_decision_replay_series
AGLD,okx:linear_perpetual:AGLD:USDT:USDT:perp,9162,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_AVAILABLE,0.0,0.0,NOT_AVAILABLE,NOT_AVAILABLE,0,0,8986,True,9102,0,mv2_decision_replay_series
ALGO,okx:linear_perpetual:ALGO:USDT:USDT:perp,9162,1,0,1,-49.9999999999997,-56.07499999999969,-0.005607499999999891,4.049999999999992,2.024999999999996,6.074999999999989,0.0,0.0,-0.005607499999999891,NOT_AVAILABLE,6.0,1,1,8803,True,9102,0,mv2_decision_replay_series
APE,okx:linear_perpetual:APE:USDT:USDT:perp,9162,7,1,6,-344.1712819555145,-385.8380927131096,-0.03858380927131093,27.777873838396747,13.888936919198374,41.6668107575951,0.0,0.0,-0.03858380927131093,NOT_AVAILABLE,344.2857142857143,7,8,6593,True,9102,0,mv2_decision_replay_series
API3,okx:linear_perpetual:API3:USDT:USDT:perp,9162,2,1,1,-99.72037499999976,-111.68640056249974,-0.011168640056249932,7.977350374999983,3.9886751874999913,11.96602556249998,0.0,0.0,-0.011168640056249932,NOT_AVAILABLE,100.0,2,2,13,True,9102,0,mv2_decision_replay_series
APT,okx:linear_perpetual:APT:USDT:USDT:perp,9162,13,0,13,-628.5741596250194,-704.9459200194595,-0.0704945920019456,50.914506929626754,25.457253464813377,76.37176039444012,0.0,0.0,-0.0704945920019456,NOT_AVAILABLE,79.92307692307692,13,13,7523,True,9102,0,mv2_decision_replay_series
AR,okx:linear_perpetual:AR:USDT:USDT:perp,9162,4,0,4,-198.3240299951219,-222.42039963952934,-0.022242039963952992,16.064246429604935,8.032123214802468,24.096369644407446,0.0,0.0,-0.022242039963952992,NOT_AVAILABLE,117.5,4,4,8359,True,9102,0,mv2_decision_replay_series
ARB,okx:linear_perpetual:ARB:USDT:USDT:perp,9162,6,0,6,-295.82568711068103,-331.7685080946289,-0.03317685080946285,23.96188065596526,11.98094032798263,35.942820983947854,0.0,0.0,-0.03317685080946285,NOT_AVAILABLE,275.5,6,6,6886,True,9102,0,mv2_decision_replay_series
ATOM,okx:linear_perpetual:ATOM:USDT:USDT:perp,9162,3,0,3,-149.16044720281184,-167.28344153795354,-0.016728344153795295,12.081996223427808,6.040998111713904,18.122994335141698,0.0,0.0,-0.016728344153795295,NOT_AVAILABLE,567.3333333333334,3,3,7286,True,9102,0,mv2_decision_replay_series
