metric	count
side_before:long_active	25
side_before:long_armed	3
side_before:long_blocked	4
side_before:short_active	2542
side_before:short_armed	277
side_before:switch_long_to_short_pending	42
side_after:long_active	25
side_after:long_armed	2
side_after:long_blocked	4
side_after:short_active	2543
side_after:short_armed	277
side_after:switch_long_to_short_pending	42
bull_transition_count	1
bear_transition_count	2
downscope_transition_count	4
stay_transition_count	2888
rejected_transition_count	2742
