instrument,trade_count,long_count,short_count,gross_pnl,fees,slippage,net_pnl,net_return_contribution,profit_factor,win_rate,average_win,average_loss,expectancy,average_holding_period_hours,turnover,gross_exposure_sum_entry,max_drawdown_contribution,cost_drag,share_of_total_pnl,share_of_total_cost_drag,rank_by_net_pnl,rank_by_neg_drawdown_contrib,rank_by_cost_drag,rank_by_trade_count
TURBO,1,1,0,90.07085228237294,0.12396915736711876,0.06198457868355938,89.88489854632226,0.008988489854632227,,1.0,89.88489854632226,0.0,89.88489854632226,2891.0,123.96915736711877,16.949152542372925,0.0,0.18595373605067814,3.865375287042771,0.0081275503071813,1,105,54,103
AEVO,1,0,1,13.204086371023921,0.02069421871372186,0.01034710935686093,13.173045042953339,0.0013173045042953338,,1.0,13.173045042953339,0.0,13.173045042953339,2867.0,20.69421871372186,16.94915254237289,0.0,0.03104132807058279,0.5664885157309499,0.0013567350721397922,2,110,115,109
STRK,3,0,3,11.551101906154315,0.08957462501100678,0.04478731250550339,11.416739968637804,0.0011416739968637805,13.046037262880972,0.3333333333333333,12.3644989469217,-0.4738794891419478,3.805579989545935,935.3333333333334,89.57462501100679,50.562863458580544,0.0,0.13436193751651018,0.4909610540487355,0.0058726080461119325,3,113,74,71
ATOM,1,0,1,8.553829594296685,0.02534447549044898,0.01267223774522449,8.515812881061011,0.0008515812881061012,,1.0,8.515812881061011,0.0,8.515812881061011,2793.0,25.344475490448982,16.949152542372833,0.0,0.03801671323567347,0.366210711608803,0.001661610871063187,4,114,114,111
W,8,1,7,8.741749628889824,0.2563376344334491,0.12816881721672455,8.357243177239651,0.0008357243177239651,3.5558769689635983,0.125,11.627057522266005,-0.46711633500376487,1.0446553971549566,352.375,256.33763443344907,132.96342084472877,0.0,0.3845064516501736,0.3593916416166518,0.016805768981005442,5,106,13,12
DYDX,4,0,4,8.209681023439533,0.12624728846477912,0.06312364423238956,8.020310090742363,0.0008020310090742363,6.65744333095202,0.25,9.437966374962311,-0.47255209473998255,2.005077522685591,683.5,126.24728846477916,67.22848474410934,0.0,0.18937093269716868,0.34490230195007276,0.008276907014089915,6,115,53,50
PYTH,2,0,2,7.7245195147012335,0.05988200590902748,0.02994100295451374,7.634696505837691,0.0007634696505837691,17.065879405953588,0.5,8.10990837024447,-0.4752118644067797,3.8173482529188454,1413.0,59.882005909027484,33.80326271186436,0.0,0.08982300886354122,0.32831952502597866,0.003925928237773423,7,108,89,80
ZETA,10,1,9,7.661043510029122,0.3220518723629411,0.16102593618147054,7.177965701484711,0.0007177965701484711,2.7168038322803656,0.1,11.35897087314168,-0.4645561301841075,0.7177965701484712,276.8,322.0518723629411,165.28018675004444,0.0,0.4830778085444116,0.3086784508018435,0.021114064576565325,8,111,6,6
ICP,3,1,2,6.526811472198552,0.0937524719157252,0.0468762359578626,6.386182764324964,0.0006386182764324964,7.747191801285119,0.3333333333333333,7.332677684346151,-0.47324746001059326,2.128727588108321,945.0,93.7524719157252,50.5633705075212,0.0,0.14062870787358778,0.27462892471351874,0.006146512149478911,9,102,73,58
OP,5,0,5,6.515421936398655,0.1610858851801607,0.08054294259008035,6.273793108628414,0.0006273793108628414,4.328415864812529,0.2,8.158711749641377,-0.47122966025324053,1.2547586217256828,562.6,161.0858851801607,83.80065355827968,0.0,0.24162882777024106,0.2697957635855145,0.01056096260863869,10,112,40,39
