left_out,net_return,net_pnl,sharpe,max_drawdown,profit_factor,delta_net_return,delta_net_pnl,delta_sharpe,delta_max_drawdown,delta_profit_factor,total_trades
TURBO,-0.006720053387849423,-67.20053387849426,-0.7953231061612602,-0.02065526294865449,0.6746566042487901,-0.009045439459614113,-90.45439459613999,-0.9862997126835561,-0.0001750446012598328,-0.43888642699825653,453
AEVO,0.001016697649242504,10.166976492424899,0.09760935563672203,-0.02065526294865449,1.0492222080043148,-0.0013086884225221862,-13.086884225220844,-0.09336725088557386,-0.0001750446012598328,-0.06432082324273192,453
STRK,0.0011938292721223043,11.93829272122168,0.11105331635463611,-0.020559677000417286,1.0580665383068977,-0.0011315567996423859,-11.315567996424063,-0.07992329016765978,-7.945865302263003e-05,-0.055476492940149,451
ATOM,0.001486401405741189,14.864014057410307,0.13193951372551874,-0.02065526294865449,1.0719623569758454,-0.0008389846660235012,-8.389846660235436,-0.05903709279677716,-0.0001750446012598328,-0.04158067427120127,453
W,0.0015023939057845492,15.023939057845457,0.13454252901786598,-0.02032548680103646,1.073916748980789,-0.0008229921659801409,-8.229921659800286,-0.056434077504429914,0.0001547315463581965,-0.03962628226625764,446
DYDX,0.0015363751914312385,15.363751914312882,0.13615214349373284,-0.020512285648194666,1.0749002435799495,-0.0007890108803334517,-7.890108803332861,-0.05482446302856306,-3.206730080001011e-05,-0.03864278766709717,450
PYTH,0.0015752661341823515,15.752661341823524,0.1384932089516184,-0.02060733559822711,1.0764420090444822,-0.0007501199375823386,-7.501199375822219,-0.05248339757067749,-0.000127117250832455,-0.037101022202564504,452
ZETA,0.0016213295828266805,16.21329582826497,0.14357390096959777,-0.020233588922795025,1.0801305981362466,-0.0007040564889380097,-7.0405648893807715,-0.04740270555269813,0.00024662942459963144,-0.03341243311080011,444
ICP,0.001701184614095741,17.01184614095604,0.1476389412461435,-0.020559804486635223,1.0827432291586938,-0.0006242014576689492,-6.2420145766897015,-0.043337665276152404,-7.958613924056654e-05,-0.030799802088352868,451
OP,0.0017125196392000497,17.125196392000397,0.14891670252201092,-0.020465160042979734,1.083679757969325,-0.0006128664325646405,-6.128664325645346,-0.042059904000284976,1.5058304414922175e-05,-0.029863273277721758,449
WLD,0.0017610862076786749,17.61086207678602,0.15404837763320678,-0.020142597594868677,1.0874309383079392,-0.0005642998640860153,-5.642998640859723,-0.036928228889089115,0.0003376207525259793,-0.026112092939107434,442
NEO,0.001777567883376463,17.775678833763074,0.15300140394726833,-0.020559677000417286,1.086458940154567,-0.0005478181883882272,-5.4781818838826695,-0.03797520257502757,-7.945865302263003e-05,-0.027084091092479667,451
IOST,0.0018401586317002838,18.40158631700214,0.15840328429275038,-0.020371824771887623,1.0903286108291865,-0.0004852274400644063,-4.852274400643605,-0.03257332222954551,0.00010839357550703269,-0.02321442041786015,447
CRO,0.0018614980950775184,18.614980950775525,0.15885781273665045,-0.020559804486635223,1.0905406516043286,-0.00046388797668717174,-4.638879766870218,-0.032118793785645444,-7.958613924056654e-05,-0.023002379642718118,451
MERL,0.002058439741884577,20.58439741884538,0.17581472371516915,-0.02000831550424282,1.1028792124678388,-0.00026694632988011335,-2.6694632988003626,-0.015161882807126742,0.0004719028431518363,-0.010663818779207856,439
STX,0.002358831289564156,23.588312895640552,0.1962177885091078,-0.020052864907655205,1.1176306378378669,3.3445217799465965e-05,0.33445217799480886,0.005241181986811894,0.00042735343973945156,0.004087606590820192,440
XLM,0.00238234967818296,23.82349678182893,0.1952080337315339,-0.02041829869459598,1.1166771881348485,5.696360641826992e-05,0.5696360641831859,0.004231427209237998,6.191965279867678e-05,0.003134156887801831,448
BNB,0.002393060311694173,23.930603116941857,0.19460614341471444,-0.020607463803355496,1.1161259014951925,6.767423992948274e-05,0.6767423992961135,0.0036295368924185445,-0.00012724545596084005,0.002582870248145852,453
ETHFI,0.002393060311694173,23.930603116941857,0.1946112655340794,-0.020607463803355312,1.1161259014951925,6.767423992948274e-05,0.6767423992961135,0.003634659011783503,-0.00012724545596065617,0.002582870248145852,453
GAS,0.002393060311694173,23.930603116941857,0.19460614965598427,-0.020607463803355312,1.1161259014951925,6.767423992948274e-05,0.6767423992961135,0.0036295431336883788,-0.00012724545596065617,0.002582870248145852,453
GRT,0.002393060311694173,23.930603116941857,0.1946074433436948,-0.020607463803355312,1.1161259014951925,6.767423992948274e-05,0.6767423992961135,0.0036308368213989195,-0.00012724545596065617,0.002582870248145852,453
MINA,0.002393060311694173,23.930603116941857,0.19460743801855923,-0.020607463803355496,1.1161259014951925,6.767423992948274e-05,0.6767423992961135,0.003630831496263337,-0.00012724545596084005,0.002582870248145852,453
NEAR,0.002393060311694173,23.930603116941857,0.1946074433437578,-0.020607463803355496,1.1161259014951925,6.767423992948274e-05,0.6767423992961135,0.003630836821461897,-0.00012724545596084005,0.002582870248145852,453
NMR,0.002393060311694173,23.930603116941857,0.1946074433437578,-0.020607463803355496,1.1161259014951925,6.767423992948274e-05,0.6767423992961135,0.003630836821461897,-0.00012724545596084005,0.002582870248145852,453
ONE,0.002393060311694173,23.930603116941857,0.19460615970416062,-0.020607463803355496,1.1161259014951925,6.767423992948274e-05,0.6767423992961135,0.0036295531818647253,-0.00012724545596084005,0.002582870248145852,453
ONT,0.002393060311694173,23.930603116941857,0.19460615824629698,-0.020607463803355496,1.1161259014951925,6.767423992948274e-05,0.6767423992961135,0.00362955172400109,-0.00012724545596084005,0.002582870248145852,453
PEOPLE,0.002393060311694173,23.930603116941857,0.1946061597034007,-0.020607463803355312,1.1161259014951925,6.767423992948274e-05,0.6767423992961135,0.0036295531811048054,-0.00012724545596065617,0.002582870248145852,453
RAY,0.002393060311694173,23.930603116941857,0.19460679391868682,-0.020607463803355312,1.1161259014951925,6.767423992948274e-05,0.6767423992961135,0.003630187396390927,-0.00012724545596065617,0.002582870248145852,453
RSR,0.002393060311694173,23.930603116941857,0.19460679391868682,-0.020607463803355312,1.1161259014951925,6.767423992948274e-05,0.6767423992961135,0.003630187396390927,-0.00012724545596065617,0.002582870248145852,453
SHIB,0.002393060311694173,23.930603116941857,0.19460998581283465,-0.020607463803355312,1.1161259014951925,6.767423992948274e-05,0.6767423992961135,0.003633379290538752,-0.00012724545596065617,0.002582870248145852,453
THETA,0.002393060311694173,23.930603116941857,0.19460614959696657,-0.020607463803355496,1.1161259014951925,6.767423992948274e-05,0.6767423992961135,0.0036295430746706714,-0.00012724545596084005,0.002582870248145852,453
UMA,0.002393060311694173,23.930603116941864,0.1946112655340957,-0.020607463803355312,1.1161259014951925,6.767423992948274e-05,0.6767423992961206,0.0036346590117997957,-0.00012724545596065617,0.002582870248145852,453
AAVE,0.0023931885168224643,23.93188516822392,0.19462452415656922,-0.02060733559822711,1.116132845287786,6.780244505777411e-05,0.6780244505781781,0.003647917634273329,-0.000127117250832455,0.0025898140407392134,453
AGLD,0.0023931885168224643,23.93188516822392,0.1946245241565773,-0.02060733559822711,1.1161328452877857,6.780244505777411e-05,0.6780244505781781,0.0036479176342814057,-0.000127117250832455,0.0025898140407389914,453
CELO,0.0023931885168224643,23.93188516822392,0.19461616788449182,-0.02060733559822711,1.1161328452877857,6.780244505777411e-05,0.6780244505781781,0.0036395613621959255,-0.000127117250832455,0.0025898140407389914,453
CORE,0.0023931885168224643,23.93188516822392,0.1946154915579613,-0.02060733559822711,1.1161328452877857,6.780244505777411e-05,0.6780244505781781,0.0036388850356653957,-0.000127117250832455,0.0025898140407389914,453
CRV,0.0023931885168224643,23.93188516822392,0.19461551516782727,-0.02060733559822711,1.1161328452877857,6.780244505777411e-05,0.6780244505781781,0.0036389086455313746,-0.000127117250832455,0.0025898140407389914,453
ETC,0.0023931885168224643,23.93188516822392,0.19461872431570545,-0.02060733559822711,1.1161328452877857,6.780244505777411e-05,0.6780244505781781,0.0036421177934095605,-0.000127117250832455,0.0025898140407389914,453
FIL,0.0023931885168224643,23.93188516822392,0.19461744680169402,-0.02060733559822711,1.1161328452877857,6.780244505777411e-05,0.6780244505781781,0.003640840279398122,-0.000127117250832455,0.0025898140407389914,453
LINK,0.0023931885168224643,23.93188516822392,0.19461550593910168,-0.02060733559822711,1.1161328452877857,6.780244505777411e-05,0.6780244505781781,0.0036388994168057853,-0.000127117250832455,0.0025898140407389914,453
LTC,0.0023931885168224643,23.93188516822392,0.19461550326079408,-0.02060733559822711,1.116132845287786,6.780244505777411e-05,0.6780244505781781,0.003638896738498182,-0.000127117250832455,0.0025898140407392134,453
HBAR,0.0024407196284141897,24.407196284142714,0.1980874502019879,-0.020559804486635223,1.1187131730752033,0.00011533355664949951,1.1533355664969704,0.007110843679692003,-7.958613924056654e-05,0.005170141828156671,452
API3,0.0024407196284144117,24.407196284142714,0.19809334376232926,-0.020559804486635223,1.1187131730752033,0.00011533355664972156,1.1533355664969704,0.007116737240033366,-7.958613924056654e-05,0.005170141828156671,452
AXS,0.0024407196284144117,24.407196284142714,0.19809202759178413,-0.020559804486635223,1.1187131730752033,0.00011533355664972156,1.1533355664969704,0.007115421069488231,-7.958613924056654e-05,0.005170141828156671,452
