contract_class	required_provenance	required_timestamps	enum_fields	unavailable_rep	serialization	validation
UnavailableSnapshotV1	optional provenance	generated_at	availability_state	self	to_json_dict/dumps_json	UnavailableSnapshotV1.__post_init__
MarketInstrumentSnapshotV1	mandatory provenance	effective_at + provenance timestamps	freshness_state	UnavailableSnapshotV1	to_json_dict/dumps_json	MarketInstrumentSnapshotV1.__post_init__
MarketRankingSnapshotV1	mandatory provenance	effective_at	eligibility_status on items	UnavailableSnapshotV1	to_json_dict/dumps_json	MarketRankingSnapshotV1.__post_init__
CanonicalDecisionSummaryV1	mandatory provenance	effective_at	decision_status,direction	UnavailableSnapshotV1	to_json_dict/dumps_json	CanonicalDecisionSummaryV1.__post_init__
DoublePlayDecisionSnapshotV1	mandatory provenance	effective_at	(string statuses)	UnavailableSnapshotV1	to_json_dict/dumps_json	DoublePlayDecisionSnapshotV1.__post_init__
SafetyAuthoritySnapshotV1	mandatory provenance	effective_at	authority_classification,kill_switch_state,risk_gate_state,execution_permission_state	UnavailableSnapshotV1	to_json_dict/dumps_json	SafetyAuthoritySnapshotV1.__post_init__
ExecutionStateSnapshotV1	mandatory provenance	effective_at	operating_mode	UnavailableSnapshotV1	to_json_dict/dumps_json	ExecutionStateSnapshotV1.__post_init__
EconomicSummarySnapshotV1	mandatory provenance	effective_at	economic_gate_status	UnavailableSnapshotV1	to_json_dict/dumps_json	EconomicSummarySnapshotV1.__post_init__
DiagnosticsSummarySnapshotV1	mandatory provenance	effective_at	(statuses tuple)	UnavailableSnapshotV1	to_json_dict/dumps_json	DiagnosticsSummarySnapshotV1.__post_init__
DashboardFreshnessSnapshotV1	mandatory provenance	page_generated_at	freshness_state on entries	N/A (always available metadata)	to_json_dict/dumps_json	DashboardFreshnessSnapshotV1.__post_init__
