contract_class	module	schema_id	schema_version	immutable	factory
UnavailableSnapshotV1	src/webui/market_dashboard_readmodels_v1/contracts.py	peak_trade.market_dashboard.unavailable_snapshot.v1	1	true	new_unavailable_snapshot_v1
MarketInstrumentSnapshotV1	src/webui/market_dashboard_readmodels_v1/contracts.py	peak_trade.market_dashboard.market_instrument_snapshot.v1	1	true	new_market_instrument_snapshot_v1
MarketRankingSnapshotV1	src/webui/market_dashboard_readmodels_v1/contracts.py	peak_trade.market_dashboard.market_ranking_snapshot.v1	1	true	new_market_ranking_snapshot_v1
CanonicalDecisionSummaryV1	src/webui/market_dashboard_readmodels_v1/contracts.py	peak_trade.market_dashboard.canonical_decision_summary.v1	1	true	new_canonical_decision_summary_v1
DoublePlayDecisionSnapshotV1	src/webui/market_dashboard_readmodels_v1/contracts.py	peak_trade.market_dashboard.double_play_decision_snapshot.v1	1	true	new_double_play_decision_snapshot_v1
SafetyAuthoritySnapshotV1	src/webui/market_dashboard_readmodels_v1/contracts.py	peak_trade.market_dashboard.safety_authority_snapshot.v1	1	true	new_safety_authority_snapshot_v1
ExecutionStateSnapshotV1	src/webui/market_dashboard_readmodels_v1/contracts.py	peak_trade.market_dashboard.execution_state_snapshot.v1	1	true	new_execution_state_snapshot_v1
EconomicSummarySnapshotV1	src/webui/market_dashboard_readmodels_v1/contracts.py	peak_trade.market_dashboard.economic_summary_snapshot.v1	1	true	new_economic_summary_snapshot_v1
DiagnosticsSummarySnapshotV1	src/webui/market_dashboard_readmodels_v1/contracts.py	peak_trade.market_dashboard.diagnostics_summary_snapshot.v1	1	true	new_diagnostics_summary_snapshot_v1
DashboardFreshnessSnapshotV1	src/webui/market_dashboard_readmodels_v1/contracts.py	peak_trade.market_dashboard.dashboard_freshness_snapshot.v1	1	true	new_dashboard_freshness_snapshot_v1
