forbidden_action	required_instead	status
compute_new_decision	project decision_outcome only	PASS
infer_direction_from_numeric_sign	map selected_side enum only	PASS
synthesize_decision_sentence	not implemented	PASS
recompute_double_play_arbitration	project composition_status/conflict_status	PASS
derive_new_blockers	project producer reason_codes only	PASS
estimate_execution_permission	TriState UNKNOWN/NOT_BOUND or source field	PASS
combine_unrelated_authority_states	Safety NOT_BOUND unless pre-consolidated	PASS
calculate_economic_metrics	project COMPUTED MetricFieldV1 values only	PASS
diagnostics_to_trading_authority	non_authoritative marker enforced	PASS
fabricate_provenance	require source digest/reference	PASS
dummy_fallback	reject dummy sources	PASS
call_integrated_replay	consume already-produced evidence only	PASS
use_static_dp_display_dict	forbidden by static guards	PASS
use_hardcoded_current_state_snapshot	forbidden by static guards	PASS
