section	snapshot_contract	adapter_function	canonical_input_source	current_availability	expected_rendered_state	provenance_source	authority_class
market	MarketInstrumentSnapshotV1|UnavailableSnapshotV1	adapt_market_instrument_snapshot_v1	market_futures_ohlcv_readmodel.v0 via env bundle (optional)	OPTIONAL_ENV_OR_MISSING	AVAILABLE when bundle+venue+instrument; else SOURCE MISSING / UNAVAILABLE	readmodel generated_at_iso / adapter provenance	authoritative_market_display
ranking	MarketRankingSnapshotV1|UnavailableSnapshotV1	adapt_market_ranking_snapshot_v1	market_ranking_funnel_readmodel.v0 via env bundle (optional)	OPTIONAL_ENV_OR_MISSING	AVAILABLE when bundle; else SOURCE MISSING	readmodel provenance	authoritative_ranking_display
decision	CanonicalDecisionSummaryV1|UnavailableSnapshotV1	adapt_canonical_decision_summary_v1	CanonicalTradingDecisionEvidenceV1 (explicit only; no replay)	NOT_SUPPLIED_ON_ROUTE	SOURCE MISSING	n/a until bound	authoritative_when_present
double_play	DoublePlayDecisionSnapshotV1|UnavailableSnapshotV1	adapt_double_play_decision_snapshot_v1	DoublePlayCompositionResultV1 + sides (no static fixture)	NOT_SUPPLIED_ON_ROUTE	SOURCE MISSING	n/a until bound	authoritative_when_present
safety_authority	SafetyAuthoritySnapshotV1|UnavailableSnapshotV1	adapt_safety_authority_snapshot_v1	consolidated producer (none)	NOT_BOUND	NOT BOUND (visible)	adapter NOT_BOUND unavailable	unavailable_not_bound
execution	ExecutionStateSnapshotV1|UnavailableSnapshotV1	adapt_execution_state_snapshot_v1	EntryExitPolicyDecisionV0-like	NOT_SUPPLIED_ON_ROUTE	SOURCE MISSING	n/a until bound	authoritative_when_present
economic	EconomicSummarySnapshotV1|UnavailableSnapshotV1	adapt_economic_summary_snapshot_v1	EconomicViabilityEvidenceV1-like	NOT_SUPPLIED_ON_ROUTE	SOURCE MISSING	n/a until bound	authoritative_or_diagnostic_per_status
diagnostics	DiagnosticsSummarySnapshotV1|UnavailableSnapshotV1	adapt_diagnostics_summary_snapshot_v1	support bundle artifacts	NOT_SUPPLIED_ON_ROUTE	SOURCE MISSING / DIAGNOSTIC ONLY when present	n/a until bound	diagnostic_only
freshness	DashboardFreshnessSnapshotV1	adapt_dashboard_freshness_snapshot_v1	section snapshots + page_generated_at	ALWAYS_BUILT	aggregate freshness FRESH/STALE/MISSING entries	freshness adapter	diagnostic_freshness
chart_series	display-only bars (not a second SSOT)	n/a presenter accompaniment	same OHLCV series used by market adapter	OPTIONAL_WITH_MARKET	SSR chart when bars present; else UNAVAILABLE panel	same OHLCV source	display_only
